frame_number,timestamp,raw_points_count,stable_points_count,display_points_count,raw_min_snr,raw_max_snr,raw_mean_snr,display_min_x,display_max_x,display_mean_x,display_min_y,display_max_y,display_mean_y,display_min_z,display_max_z,display_mean_z,display_min_doppler,display_max_doppler,display_mean_doppler,target_count,active_target_ids,presence
28,2026-05-29 16:14:08.686,70,0,0,0.0,1327.6400146484375,160.86570739746094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
29,2026-05-29 16:14:08.687,75,139,0,0.0,2560.760009765625,189.60159301757812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
30,2026-05-29 16:14:08.688,74,210,0,0.0,2087.0,205.6048583984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
31,2026-05-29 16:14:08.689,73,282,0,0.0,2280.639892578125,220.10189819335938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
32,2026-05-29 16:14:08.691,73,353,0,8.639999389648438,2381.760009765625,230.94520568847656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
33,2026-05-29 16:14:08.692,79,356,0,0.0,2531.639892578125,237.5118865966797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
34,2026-05-29 16:14:08.946,78,365,0,9.0,1774.52001953125,191.80715942382812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
35,2026-05-29 16:14:08.947,72,361,0,0.0,2493.119873046875,238.31776428222656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
36,2026-05-29 16:14:08.947,68,350,0,0.0,2324.35986328125,214.3411865234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
37,2026-05-29 16:14:08.948,76,350,0,0.0,2067.35986328125,167.88523864746094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
38,2026-05-29 16:14:08.949,76,345,0,0.0,1277.3599853515625,144.0242156982422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
39,2026-05-29 16:14:09.228,88,353,0,0.0,1940.5198974609375,156.93499755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
40,2026-05-29 16:14:09.229,93,381,0,0.0,2100.239990234375,158.79226684570312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
41,2026-05-29 16:14:09.230,86,394,0,0.0,1859.5198974609375,147.44650268554688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
42,2026-05-29 16:14:09.230,81,400,0,0.0,1540.239990234375,138.59458923339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
43,2026-05-29 16:14:09.231,72,399,0,0.0,1320.3599853515625,149.48110961914062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
44,2026-05-29 16:14:09.542,69,376,0,0.0,1265.239990234375,138.67652893066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
45,2026-05-29 16:14:09.544,75,367,0,0.0,1327.239990234375,133.83038330078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
46,2026-05-29 16:14:09.545,80,363,0,0.0,1468.6400146484375,161.09451293945312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
47,2026-05-29 16:14:09.547,73,355,0,0.0,2021.8800048828125,171.18136596679688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
48,2026-05-29 16:14:09.549,71,355,0,0.0,1271.1199951171875,172.4929656982422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
49,2026-05-29 16:14:09.550,71,353,1,0.0,1314.760009765625,186.70535278320312,0.22747816145420074,0.22747816145420074,0.22747816145420074,0.7272717952728271,0.7272717952728271,0.7272717952728271,0.6994480490684509,0.6994480490684509,0.6994480490684509,1.948240041732788,1.948240041732788,1.948240041732788,0,,0
50,2026-05-29 16:14:09.860,65,336,1,0.0,2310.239990234375,220.8609161376953,0.22747816145420074,0.22747816145420074,0.22747816145420074,0.7272717952728271,0.7272717952728271,0.7272717952728271,0.6994480490684509,0.6994480490684509,0.6994480490684509,1.948240041732788,1.948240041732788,1.948240041732788,0,,0
51,2026-05-29 16:14:09.861,64,330,1,9.0,2157.0,226.864990234375,0.22747816145420074,0.22747816145420074,0.22747816145420074,0.7272717952728271,0.7272717952728271,0.7272717952728271,0.6994480490684509,0.6994480490684509,0.6994480490684509,1.948240041732788,1.948240041732788,1.948240041732788,0,,0
52,2026-05-29 16:14:09.861,64,327,1,0.0,2104.35986328125,196.7762451171875,0.22747816145420074,0.22747816145420074,0.22747816145420074,0.7272717952728271,0.7272717952728271,0.7272717952728271,0.6994480490684509,0.6994480490684509,0.6994480490684509,1.948240041732788,1.948240041732788,1.948240041732788,0,,0
53,2026-05-29 16:14:09.863,67,318,2,6.519999980926514,1479.239990234375,173.61911010742188,0.22747816145420074,0.23236672580242157,0.22992244362831116,0.7219237089157104,0.7272717952728271,0.7245977520942688,0.5803648829460144,0.6994480490684509,0.6399064660072327,0.06972000002861023,1.948240041732788,1.0089800357818604,0,,0
54,2026-05-29 16:14:09.864,67,316,1,0.0,1225.0,159.2149200439453,0.23236672580242157,0.23236672580242157,0.23236672580242157,0.7219237089157104,0.7219237089157104,0.7219237089157104,0.5803648829460144,0.5803648829460144,0.5803648829460144,0.06972000002861023,0.06972000002861023,0.06972000002861023,0,,0
55,2026-05-29 16:14:09.865,66,319,0,0.0,1238.239990234375,160.88604736328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
56,2026-05-29 16:14:10.075,69,323,0,0.0,1488.52001953125,158.30723571777344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
57,2026-05-29 16:14:10.076,71,329,0,0.0,1387.760009765625,154.0140838623047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
58,2026-05-29 16:14:10.077,69,323,0,0.0,1767.3599853515625,187.98202514648438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
59,2026-05-29 16:14:10.077,63,323,0,0.0,1577.1199951171875,188.11553955078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
60,2026-05-29 16:14:10.261,61,320,0,0.0,1506.760009765625,201.6177215576172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
61,2026-05-29 16:14:10.262,64,313,0,0.0,2383.119873046875,250.49749755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
62,2026-05-29 16:14:10.263,65,300,0,0.0,2039.8800048828125,181.74832153320312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
63,2026-05-29 16:14:10.494,66,304,0,0.0,2264.8798828125,178.1563720703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
64,2026-05-29 16:14:10.495,71,310,0,0.0,2222.0,184.7735137939453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
65,2026-05-29 16:14:10.495,70,319,0,0.0,2164.8798828125,171.10113525390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
66,2026-05-29 16:14:10.496,72,332,0,0.0,2543.639892578125,188.60110473632812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
