frame_number,timestamp,raw_points_count,stable_points_count,display_points_count,raw_min_snr,raw_max_snr,raw_mean_snr,display_min_x,display_max_x,display_mean_x,display_min_y,display_max_y,display_mean_y,display_min_z,display_max_z,display_mean_z,display_min_doppler,display_max_doppler,display_mean_doppler,target_count,active_target_ids,presence
28,2026-05-29 17:14:04.606,70,0,0,0.0,2169.8798828125,204.14459228515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
29,2026-05-29 17:14:04.608,77,137,0,0.0,2320.8798828125,200.32208251953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
30,2026-05-29 17:14:04.609,78,218,0,0.0,2307.35986328125,204.8692169189453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
31,2026-05-29 17:14:04.610,76,292,0,0.0,2304.0,214.42103576660156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
32,2026-05-29 17:14:04.611,72,364,0,0.0,2447.760009765625,259.1005554199219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
33,2026-05-29 17:14:04.611,67,359,0,0.0,2170.52001953125,265.9964294433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
34,2026-05-29 17:14:04.612,71,348,0,0.0,2592.8798828125,309.14141845703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
35,2026-05-29 17:14:04.613,67,342,0,8.519999504089355,2495.119873046875,267.443603515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
36,2026-05-29 17:14:04.613,65,331,0,8.880000114440918,2541.760009765625,335.0042724609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
37,2026-05-29 17:14:04.926,63,325,0,11.0,2379.239990234375,245.8844451904297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
38,2026-05-29 17:14:04.928,64,311,0,0.0,2426.8798828125,222.78936767578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
39,2026-05-29 17:14:04.929,63,307,0,0.0,2028.5198974609375,235.67364501953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
40,2026-05-29 17:14:04.930,65,311,0,0.0,1837.3599853515625,212.2326202392578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
41,2026-05-29 17:14:04.931,61,303,0,0.0,2079.35986328125,239.3940887451172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0
